level,story_id,topic_id,page,field,before,after,reason,source,reviewed_at
n4,1,1,16,title,行ってらっしゃい。何時ごろ帰る？,出门前道别,对照原书修正并统一为已确认字段风格,N4 PDF pages 18-30 (printed pages 16-28),2026-07-12T23:50:00+09:00
n4,1,1,16,japanese,"[{""speaker"":""A"",""text"":""行ってらっしゃい。何時ごろ帰る？""},{""speaker"":""B"",""text"":""8時すぎに帰るよ。行ってきます。""},{""text"":""いってらっしゃい行ってらっしゃい""}]","[{""speaker"":""A"",""text"":""行ってらっしゃい。何時ごろ帰る？""},{""speaker"":""B"",""text"":""8時すぎに帰るよ。行ってきます。""}]",对照原书修正并统一为已确认字段风格,N4 PDF pages 18-30 (printed pages 16-28),2026-07-12T23:50:00+09:00
n4,1,1,16,focus,[],"[""行ってらっしゃい"",""～すぎ"",""行ってきます""]",对照原书修正并统一为已确认字段风格,N4 PDF pages 18-30 (printed pages 16-28),2026-07-12T23:50:00+09:00
n4,1,1,16,naturalChinese,[],"[""A：路上小心。几点左右回来？"",""B：8点多回来。我出门了。""]",对照原书修正并统一为已确认字段风格,N4 PDF pages 18-30 (printed pages 16-28),2026-07-12T23:50:00+09:00
n4,1,1,16,originalChinese,[],"[""A：慢走。几点左右会回来？"",""B：差不多8点多回来。我出门了。""]",对照原书修正并统一为已确认字段风格,N4 PDF pages 18-30 (printed pages 16-28),2026-07-12T23:50:00+09:00
n4,1,1,16,vocab,[],"[[""1"",""行ってらっしゃい"",""いってらっしゃい"",""句"",""慢走""],[""2"",""～すぎ"","""",""接尾"",""多""],[""3"",""行ってきます"",""いってきます"",""句"",""我出门了""]]",对照原书修正并统一为已确认字段风格,N4 PDF pages 18-30 (printed pages 16-28),2026-07-12T23:50:00+09:00
n4,1,1,16,reviewStatus,OCR已整理,已校对,对照原书修正并统一为已确认字段风格,N4 PDF pages 18-30 (printed pages 16-28),2026-07-12T23:50:00+09:00
n4,2,1,16,title,そのお皿取ってくれる？,请人递盘子,对照原书修正并统一为已确认字段风格,N4 PDF pages 18-30 (printed pages 16-28),2026-07-12T23:50:00+09:00
n4,2,1,16,japanese,"[{""speaker"":""A"",""text"":""そのお皿取ってくれる？""},{""speaker"":""B"",""text"":""どれ？""},{""speaker"":""A"",""text"":""その蒸くて薄いの。""},{""text"":""ちゃいろ""},{""text"":""（お）さら""},{""text"":""（お）皿""}]","[{""speaker"":""A"",""text"":""そのお皿取ってくれる？""},{""speaker"":""B"",""text"":""どれ？""},{""speaker"":""A"",""text"":""その茶色くて薄いの。""}]",对照原书修正并统一为已确认字段风格,N4 PDF pages 18-30 (printed pages 16-28),2026-07-12T23:50:00+09:00
n4,2,1,16,focus,[],"[""（お）皿"",""茶色い"",""茶色"",""薄い""]",对照原书修正并统一为已确认字段风格,N4 PDF pages 18-30 (printed pages 16-28),2026-07-12T23:50:00+09:00
